,name,lat,lon,price_level,rating,user_ratings_total,amenity,amenity_label,bar,bistro,cafe,fast_food,ice_cream,juice_bar,pub,restaurant,is_chain,chain_label,chain_False,chain_True
2766,cafe rico,49.2868188,-123.1285213,1.0,4.0,242,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2767,blossom dim sum & grill,49.2857079,-123.1269916,0.0,3.7,251,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2768,zefferelli's spaghetti joint,49.2850854,-123.125921,2.0,4.3,748,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2769,damso,49.2861996,-123.1264976,2.0,3.9,490,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2770,meet fresh robson,49.286296899999996,-123.1277327,2.0,3.7,379,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2771,urban tea merchant,49.28538870000001,-123.1229586,3.0,4.1,326,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2772,victoria chinese restaurant,49.2856601,-123.1210867,2.0,3.6,322,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2773,ho ho's yummy food,49.28207860000001,-123.1340707,0.0,3.6,18,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2774,davie dosa company,49.2821447,-123.1337057,2.0,4.4,603,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2775,sumac cafe,49.282131,-123.1341558,0.0,4.8,40,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2776,downtown sushi bar,49.2819972,-123.1334555,2.0,3.4,234,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2777,melriches coffee house,49.28224829999999,-123.1343416,0.0,4.5,15,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2778,guu davie,49.2822628,-123.13376809999998,0.0,4.2,90,pub,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0,1.0,0.0
2779,al basha,49.2818284,-123.1336764,1.0,4.4,143,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2780,mary's on davie,49.2817505,-123.1335605,2.0,4.4,461,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2781,pho goodness,49.280931,-123.1323047,1.0,4.1,684,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2782,sushigo,49.2879481,-123.12381270000002,1.0,3.6,110,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2783,taki's taverna,49.28049,-123.1316384,2.0,4.1,333,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2784,cazba,49.280638,-123.1310878,2.0,4.0,1278,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2785,jos,49.2890203,-123.1221386,0.0,0.0,0,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2786,chewies,49.2878856,-123.11849270000002,2.0,4.2,977,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2787,ebisu,49.2859601,-123.1274065,2.0,4.0,1017,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2788,café crêpe express,49.2836676,-123.1236177,2.0,3.8,239,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2789,mumbai local,49.2809013,-123.1322613,0.0,4.2,473,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2790,the junction,49.2807293,-123.1323456,0.0,0.0,0,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2791,thai basil,49.280319,-123.131586,1.0,4.2,468,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2792,baguette cafe,49.280456,-123.131581,1.0,4.1,116,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2793,guu original thurlow,49.2840032,-123.1254481,2.0,4.4,1177,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2794,italian tomato,49.27998570000001,-123.1303512,0.0,4.3,306,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2795,thida thai,49.2817168,-123.133062,2.0,4.1,184,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2796,1181,49.281603,-123.1328977,0.0,0.0,0,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2797,disco cheetah,49.2816322,-123.1329448,0.0,4.6,164,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2798,tom sushi,49.28154050000001,-123.1328119,0.0,4.8,385,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2799,pumpjack,49.2814951,-123.1327426,1.0,4.1,143,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2800,pho central,49.2814332,-123.1326311,1.0,4.1,461,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2801,india bistro,49.2813594,-123.132504,2.0,3.9,426,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2802,red robin,49.2846234,-123.125267,2.0,4.1,2433,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2803,tartine bread and pies,49.2802555,-123.130747,1.0,4.2,161,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2804,the den,49.2874645,-123.1295818,1.0,4.4,173,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2805,komi,49.28656420000001,-123.1228071,0.0,5.0,9,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2806,best bite donair,49.280330600000006,-123.1308594,0.0,4.5,147,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2807,fujiya take out,49.2870439,-123.1197864,0.0,3.8,229,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2808,sunset beach consession stand,49.2787671,-123.1378619,0.0,4.6,5880,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2809,rise & noodle,49.2863393,-123.1277946,1.0,4.3,334,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2810,fountainhead pub,49.279654,-123.12973,0.0,4.1,171,pub,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0,1.0,0.0
2811,prestons restaurant + lounge,49.28822,-123.122313,2.0,3.9,202,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2812,showcase restaurant & bar,49.28790479999999,-123.1200971,3.0,4.2,231,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2813,smak,49.2879677,-123.1214202,2.0,4.2,364,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2814,pokébar,49.2800579,-123.1309152,0.0,4.8,50,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2815,yui japanese bistro,49.2870535,-123.1246502,2.0,4.4,220,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2816,black+blue,49.28456920000001,-123.1229311,4.0,4.2,2309,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2817,numbers,49.2796989,-123.1303992,2.0,3.8,73,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2818,dosa and curry on davie,49.2814927,-123.1331514,2.0,4.6,591,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2819,49th parallel café & lucky's doughnuts,49.28603620000001,-123.12302959999998,2.0,4.5,1115,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2820,heritage asian eatery,49.287548,-123.1210389,2.0,4.2,616,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2821,indian delicacy,49.2873634,-123.1216746,2.0,4.7,576,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2822,symphonie,49.2876652,-123.1218959,1.0,4.5,53,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2823,castella cheesecake,49.2857878,-123.1269044,1.0,3.8,138,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2824,market by jean-georges,49.28558560000001,-123.1238076,0.0,0.0,0,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2825,tap shack eatery,49.2897968,-123.1212582,2.0,4.2,320,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2826,perverted ice-cream,49.2848162,-123.1247532,0.0,0.0,0,ice_cream,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,0,1.0,0.0
2827,samurai,49.280511,-123.1316744,1.0,4.2,1178,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2828,prime's thai tea,49.2858499,-123.1270004,0.0,3.3,91,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2829,beetbox,49.2800784,-123.13095020000002,2.0,4.4,143,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2830,coast restaurant,49.2847156,-123.1232107,3.0,4.2,1408,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2831,assembli,49.2875974,-123.1191416,0.0,4.0,112,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2832,dae bak bon ga,49.2874261,-123.1288848,2.0,3.3,384,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2833,kiku sushi restaurant,49.2892662,-123.1269369,0.0,4.4,123,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2834,d'oro gelato e caffè,49.2861582,-123.1274973,2.0,4.3,396,ice_cream,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,0,1.0,0.0
2835,ten ten tapas,49.2756342,-123.1352873,2.0,3.8,100,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2836,turf,49.2882184,-123.1265091,0.0,4.1,18,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2837,stepho's greek restaurant,49.28070220000001,-123.1319611,0.0,3.9,1783,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2838,umami sushi,49.1203849,-122.6632837,2.0,4.3,236,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2839,sushi mori,49.11529829999999,-122.6790538,2.0,4.2,842,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2840,the cafe,49.1409171,-122.60093390000002,0.0,4.8,14,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2841,the lower cafe,49.1399686,-122.60019979999998,0.0,0.0,0,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2842,chuck e. cheese's,49.11765,-122.6689767,2.0,3.9,658,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2843,legendary noodle,49.1176829,-122.6694722,2.0,4.2,159,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2844,fresh donair,49.1186802,-122.6700701,0.0,0.0,0,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2845,s&l,49.155331200000006,-122.6687199,2.0,4.1,1375,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2846,gateway pizza,49.1192623,-122.6708998,0.0,3.8,145,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2847,trading post brewery and tasting room,49.1185688,-122.66510890000002,0.0,4.7,216,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2848,five roads brewing,49.1162645,-122.6634679,0.0,4.8,66,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2849,camp beer,49.1185646,-122.6782226,0.0,4.8,112,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2850,red wings,49.1139699,-122.6702933,0.0,4.6,25,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2851,fat burger,49.1194981,-122.6647319,2.0,4.2,382,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2852,creekside coffee factory,49.120383200000006,-122.6633969,2.0,4.4,185,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2853,star lake chinese restaurant,49.1177852,-122.67528459999998,1.0,3.9,128,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2854,dead frog tasting room,49.163033,-122.6667471,0.0,4.5,248,bar,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
2855,pasta polo,49.1172095,-122.6795523,2.0,4.0,535,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2856,townhall public house,49.1188311,-122.6788097,2.0,3.9,530,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2857,katana,49.1171673,-122.6698182,3.0,4.2,331,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2858,sushi avenue,49.1586372,-122.6667171,2.0,4.5,238,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0,1.0,0.0
2859,pearl fever tea house,49.1192765,-122.669559,0.0,4.1,190,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
